Category,Family Name,Crop,Crop Type,Variety,Planting Method,Harvest Stage,GH Sow Date,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Days In Greenhouse,Field Sowing Planting Date,DTM,Harvest Window,First Harvest,Last Harvest,Planting Amount,Location,In-Row Spacing,In-Row Spacing Unit,Rows Per Bed,# Of Flats,Flat/pot type,Seeds per cell,Estimated loss,Total Transplants,Total Seed Needed,Average seed weight,Average seed weight unit,Total Weight Needed,Total Weight Needed Unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Harvest Unit,Avg Yield Rate,Avg. Sales Price,Est. Yield,Est. Revenue,Est. Rev./unit,Growing Cycle,Rootstock,Harvest Season,First Fruiting Year,Between row spacing,Notes,Seeder,Front gear,Rear gear,Roller plate
Flowers,Ranunculaceae,Anemone,Mid Blooming,Mix Super Bag,Direct Sow,,,,,,,,,,04/21/2020,56,42,06/16/2020,07/28/2020,8 bed ft.,,9.0,in,5,0.0,,,,,53,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$12.00/bn,"1,066.7 Stems","$1,280.00",$32.00/plant,Annual,,,,,,,,,
Flowers,Ranunculaceae,Anemone,Mid Blooming,Saint Brigid,Direct Sow,,,,,,,,,,04/21/2020,56,42,06/16/2020,07/28/2020,2 bed ft.,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.0,,,,,13,0,,0.00,,0.00,,,,,,,,,,,Stems,20.000 st/pl,$0.00/st,266.7 Stems,$0.00,$0.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Apricot Swirl Mix,Greenhouse Sow,,03/14/2020,,,,,,,,05/04/2020,78,21,07/21/2020,08/11/2020,58 plants,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,870.0 Stems,"$1,392.00",$32.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Harlekin Violet,Greenhouse Sow,,03/14/2020,,,,,,,,05/04/2020,78,21,07/21/2020,08/11/2020,36 plants,"The Back Field,MCB,Block FLR,Beds 2",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,540.0 Stems,$864.00,$32.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Chamois Apricot,Greenhouse Sow,,04/08/2020,,,,,,,,05/14/2020,78,21,07/31/2020,08/21/2020,10 bed ft.,"Goat Field,GH,Block FLR,Beds 1",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,"1,000.0 Stems","$1,600.00",$32.00/plant,Annual,,,,,,,,,
Flowers,Asteraceae,Aster,Aster,Valkyrie Pink,Greenhouse Sow,,04/08/2020,,,,,,,,05/14/2020,78,21,07/31/2020,08/21/2020,10 bed ft.,"Goat Field,GH,Block FLR,Beds 1",9.0,in,5,0.96,72 cell flats,2,4,69.33,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,15.000 st/pl,$8.00/bn,"1,000.0 Stems","$1,600.00",$32.00/plant,Annual,,,,,,,,,
Flowers,Chenopodiaceae,Atriplex (Cut flower),Atriplex (Cut flower),Caramel Apple Mix,Greenhouse Sow,,03/22/2020,,,,,,,,04/26/2020,75,60,07/10/2020,09/08/2020,10 bed ft.,"Goat Field,GH,Block GRN,Beds 2",12.0,in,4,0.58,72 cell flats,2,5,42,84,12800,seeds/oz,0.01,oz,0.00,,,,,,,,,,,Stems,10.000 st/pl,$8.00/bn,400.0 Stems,$320.00,$8.00/plant,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Mrs. Burns' Lemon,Direct Sow,Full-Size,,,,,,,,,05/29/2020,70,28,08/07/2020,09/04/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,22342,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,30.000 st/pl,$8.00/bn,"2,000.0 Stems","$1,600.00",$32.00/plant,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Aromatto,Direct Sow,Full-Size,,,,,,,,,06/19/2020,80,21,09/07/2020,09/28/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,22342,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,30.000 st/pl,$8.00/bn,"2,000.0 Stems","$1,600.00",$32.00/plant,Annual,,,,,,,,,
Herbs,Lamiaceae,Basil,Basil,Mrs. Burns' Lemon,Direct Sow,Full-Size,,,,,,,,,06/19/2020,70,28,08/28/2020,09/25/2020,10 bed ft.,"White House,Situation,Block GRN,Beds 2",9.0,in,5,0.0,,,,,67,22342,seeds/oz,0.00,oz,0.00,,,,,,,,,,,Stems,30.000 st/pl,$8.00/bn,"2,000.0 Stems","$1,600.00",$32.00/plant,Annual,,,,,,,,,
