Date,Planting Name,Crop,Amount,Unit,Sales outlets,Harvest Stage,Final Harvest
03/18/2020,Flax Blue 02/15/2020  10 bed ft.,Flax,5.0,Stems,Unknown outlet,,No
03/19/2020,Flax Blue 02/15/2020  10 bed ft.,Flax,6.0,Stems,Unknown outlet,,No
