"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5e5f15b7a529995b94e386a6","c5215f87-58b7-4205-9217-e753986a330d","PHYSICAL","shop","lily-b29gl","Lily","<p class="""" style=""white-space:pre-wrap;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p>","SQ8031588","Size","Small","","","","","50.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5e5f3321f11c1e302eb5888b/1583297316233/comming-soon.png"
"","433699fc-bee1-4b8c-b921-d5796f6aee0a","","","","","","SQ6682318","Size","Medium","","","","","50.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","5bd5a3ed-d897-40cf-a28a-fc5e7fa22a74","","","","","","SQ2655732","Size","Large","","","","","50.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"5e5f15b7a529995b94e386af","28523bef-0591-4455-86b2-21b92fb11b11","PHYSICAL","shop","pencil-plant-tjpmg","Pencil Plant","<p class="""" style=""white-space:pre-wrap;"">Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.</p>","SQ1716251","Size","Small","","","","","50.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5e5f15b7a529995b94e386b1/1559326899329/Ecomm_10_Pencil_002.jpg https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5e5f15b7a529995b94e386b4/1559326899333/Texture_06_010.jpg"
"","4ab8976a-de43-4c15-a7a7-ee322afe4a23","","","","","","SQ0821351","Size","Medium","","","","","50.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"","975000a8-9c2c-4a4d-be24-373e9e1fa7bc","","","","","","SQ6266432","Size","Large","","","","","50.00","0.00","No","Unlimited","","","0.0","0.0","0.0","0.0","",""
"5e5f171afb61a745960a1331","ff6a371a-eb13-40a4-874e-07a1a0d1297e","PHYSICAL","shop","ama001","Amaranth ""Hot Biscuits"" (Amaranthus cruentus)","","ama001","","","","","","","17.00","15.00","Yes","72","","","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5e5f20aebde2235655e4e436/1583292593806/ama001.jpeg https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5e5f20b8fbc5937918bb3171/1583292603196/ama001-zoom.jpeg"
