"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Option Name 4","Option Value 4","Option Name 5","Option Value 5","Option Name 6","Option Value 6","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"6029e7dc7f543c1fbd08d0d4","965e8f18-6b22-4bcd-ac93-a2847f640f65","PHYSICAL","mrfc","lav-truex","Lavender - True","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","LAV-TRUEX","","","","","","","","","","","","","12.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc5dbe56ecc3deb9c5666/1616889310675/true+lavender.JPG"
"6029e7dd7f543c1fbd08d0d7","b397d3be-9fb6-47fd-b62a-2a948885209a","PHYSICAL","mrfc","str-vntwh","Strawflower - Vintage White","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","STR-VNTWH","","","","","","","","","","","","","9.50","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc3b7d0939c02bc18e5bb/1616888762032/vintage_white_strawflr.jpg"
"6029e7dd7f543c1fbd08d0f4","f66216ca-75fb-47cf-a248-71228ca5a664","PHYSICAL","mrfc","ran-viole","Ranunculus - Violet","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","RAN-VIOLE","","","","","","","","","","","","","999.00","0.00","No","999","","mrfc","0.0","0.0","0.0","0.0","No",""
"6029e7de7f543c1fbd08d0f7","f416b090-f30a-449a-9e08-7c3317698ebc","PHYSICAL","mrfc","fev-virgo","Feverfew - Virgo","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","FEV-VIRGO","","","","","","","","","","","","","12.50","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc37b8e46b41429e631aa/1616888701806/virgo_feverfew.jpg"
"6029e7de7f543c1fbd08d0f9","49f71d58-527c-4c29-81da-183d2788e04b","PHYSICAL","mrfc","lis-voywh","Lisianthus - Voyage 2 White Improved","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","LIS-VOYWH","","","","","","","","","","","","","12.50","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc313aa459e3f80e3eea5/1616888599859/white_Lisianthus.jpg"
"6029e7de7f543c1fbd08d0fa","6a9ccb9b-ceb8-4c2f-8773-fc1ab74026ed","PHYSICAL","mrfc","lar-whicl","Larkspur - White cloud","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","LAR-WHICL","","","","","","","","","","","","","10.00","9.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc2eeae48e22cb3c4531d/1616888560915/white_larkspur.jpg"
"6029e7de7f543c1fbd08d0fb","7c815a3a-a0db-4379-a6a4-9f11bc45789a","PHYSICAL","mrfc","pop-whtfr","Poppy - White Frills","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","POP-WHTFR","","","","","","","","","","","","","8.50","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc2bf944fef12c7d81175/1616888514924/White_Frills_Breadseed_Poppy_.jpg"
"6029e7df7f543c1fbd08d0fe","54e5653e-3f99-498b-9427-c0d189e9b58a","PHYSICAL","mrfc","mig-white","Mignonette - White Mignonette","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","MIG-WHITE","","","","","","","","","","","","","999.00","0.00","No","999","","mrfc","0.0","0.0","0.0","0.0","No",""
"6029e7df7f543c1fbd08d116","945d9797-f6a0-4ff3-9de6-96919065adcc","PHYSICAL","mrfc","mar-whswn","Marigold - White Swan","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","MAR-WHSWN","","","","","","","","","","","","","8.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc2870fbea64d81b7ccf0/1616888457944/whiteswan_marigold.jpg"
"6029e7df7f543c1fbd08d117","a886d1b5-9473-413e-abe2-89fbbeed8837","PHYSICAL","mrfc","wld-wldmx","Wildflower - Wildflower Seed Mix","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","WLD-WLDMX","","","","","","","","","","","","","999.00","0.00","No","999","","mrfc","0.0","0.0","0.0","0.0","No",""
"6029e7e07f543c1fbd08d11e","dce7cec2-d0d2-4a55-9844-f56bb835389c","PHYSICAL","mrfc","cre-wricr","Cress - Wrinkled Crinkled","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","CRE-WRICR","","","","","","","","","","","","","8.50","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc20c6a4f590eed644cb2/1616888334926/Wrinkled_Crinkled_cress.jpg"
"6029e7e07f543c1fbd08d11f","d804a24c-c14b-4870-942a-fbbdc4b4a75f","PHYSICAL","mrfc","zin-zinpe","Zinnias - Zinderella Peach","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","ZIN-ZINPE","","","","","","","","","","","","","7.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc1e5f46c0d327506189c/1616888297297/zinderellaPeach_zin.JPG"
"6029e7e07f543c1fbd08d139","c6eb432a-7ecc-4a19-803d-060949401acf","PHYSICAL","mrfc","null","null - null","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","null","","","","","","","","","","","","","999.00","0.00","No","999","","mrfc","0.0","0.0","0.0","0.0","No",""
"6029e7e17f543c1fbd08d155","7e20b28f-921a-4690-b113-b5eea3d3f827","PHYSICAL","mrfc","gom-pink","Gomphrena (Globe Amaranth) - Pink","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","GOM-PINK","","","","","","","","","","","","","7.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fc6f05ded127ce81752ea/1616889586569/pink_Globeamaranth.jpg"
"6029e7e17f543c1fbd08d156","a83e0147-9282-4947-adb6-d134472d7700","PHYSICAL","mrfc","dah-blknr","Dahlias - Black Narcissus","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","DAH-BLKNR","","","","","","","","","","","","","3.00","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fbf784c51e55e32b746f5/1616888188729/Black-Narcissus_Dahlia.jpg"
"6029e7e17f543c1fbd08d157","269a9900-51c9-402e-8dda-95311a01f9b4","PHYSICAL","mrfc","dah-celmx","Dahlias - Celestial Mix","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","DAH-CELMX","","","","","","","","","","","","","2.25","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fbecee6fb7c423be391b7/1616888247512/Celestial-Mix_Dahlia_DP.jpg"
"6029e7e27f543c1fbd08d158","223703ab-84d1-4f3e-8f21-c7e3cb22a2d7","PHYSICAL","mrfc","dah-chkde","Dahlias - ChickADee","This is a new product. The stock and price need set. This description will be replaced with the actual description the next update run.","DAH-CHKDE","","","","","","","","","","","","","1.50","0.00","No","0","","mrfc","0.0","0.0","0.0","0.0","Yes","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/6006492b8a2b87460a34993a/605fb99fe62a2b3322ef850d/1616888215869/Chick-a-Dee_dahlia.jpg"
