"Product ID [Non Editable]","Variant ID [Non Editable]","Product Type [Non Editable]","Product Page","Product URL","Title","Description","SKU","Option Name 1","Option Value 1","Option Name 2","Option Value 2","Option Name 3","Option Value 3","Price","Sale Price","On Sale","Stock","Categories","Tags","Weight","Length","Width","Height","Visible","Hosted Image URLs"
"5ec9f90f6db96c35c65bf0a7","fa3ab577-e123-4995-98b5-cb8bd65f539b","PHYSICAL","shop","dah-mystq","Dahlias - Mystique","<p>Dahlias - Mystique </p>","DAH-MYSTQ","","","","","","","20.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f90f6db96c35c65bf0a8/1590294802231/comming-soon.png"
"5ec9f9106db96c35c65bf0aa","59dedc74-5aa2-4510-8418-12e1d543fe63","PHYSICAL","shop","dah-noord","Dahlias - Noordwijks Glorie","<p>Dahlias - Noordwijks Glorie </p>","DAH-NOORD","","","","","","","16.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9106db96c35c65bf0ab/1590294802640/comming-soon.png"
"5ec9f9106db96c35c65bf0d5","6ca14c4c-4315-47fe-818d-eb2b18a16114","PHYSICAL","shop","dah-ottos","Dahlias - Otto’s Thrill","<p>Dahlias - Otto’s Thrill </p>","DAH-OTTOS","","","","","","","0.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9106db96c35c65bf0ea/1590294803273/comming-soon.png"
"5ec9f9116db96c35c65bf0ff","14da2651-0ab8-410f-a74d-6668d1b95caa","PHYSICAL","shop","dah-peacr","Dahlias - Peaches n Cream","<p>Dahlias - Peaches n Cream </p>","DAH-PEACR","","","","","","","20.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9116db96c35c65bf100/1590294806029/comming-soon.png"
"5ec9f9116db96c35c65bf129","721b53dd-2c78-45db-9970-6182554444ea","PHYSICAL","shop","dah-penhw","Dahlias - Penhill Watermelon","<p>Dahlias - Penhill Watermelon </p>","DAH-PENHW","","","","","","","5.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9116db96c35c65bf12a/1590294803995/comming-soon.png"
"5ec9f9116db96c35c65bf154","a6bab49b-d451-469e-80d2-f70eb276020e","PHYSICAL","shop","dah-shiln","Dahlias - Shiloh Noelle","<p>Dahlias - Shiloh Noelle </p>","DAH-SHILN","","","","","","","5.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9116db96c35c65bf155/1590294804550/comming-soon.png"
"5ec9f9126db96c35c65bf17f","c43f71a8-2796-40dc-a55c-3967310036ba","PHYSICAL","shop","dah-swetn","Dahlias - Sweet Nathalie","<p>Dahlias - Sweet Nathalie </p>","DAH-SWETN","","","","","","","20.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9126db96c35c65bf180/1590294808030/comming-soon.png"
"5ec9f9126db96c35c65bf196","f1318b4a-5f62-48f1-9d80-729db1787eda","PHYSICAL","shop","dah-thoed","Dahlias - Thomas Edison","<p>Dahlias - Thomas Edison </p>","DAH-THOED","","","","","","","20.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9126db96c35c65bf197/1590294805227/comming-soon.png"
"5ec9f9136db96c35c65bf1c0","3f21695c-804f-47f4-b977-f7bf184f0239","PHYSICAL","shop","dah-wizoz","Dahlias - Wizard of Oz","<p>Dahlias - Wizard of Oz </p>","DAH-WIZOZ","","","","","","","16.00","0.00","No","0","Dahlias","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9136db96c35c65bf1c1/1590294805777/comming-soon.png"
"5ec9f9136db96c35c65bf1df","9d5e5b55-6e63-4e39-b4af-fb19a611fafe","PHYSICAL","shop","dus-newlk","Dusty Miller - New Look","<p>Dusty Miller - New Look </p>","DUS-NEWLK","","","","","","","9.00","0.00","No","0","Dusty Miller","","0.0","0.0","0.0","0.0","No","https://static1.squarespace.com/static/5e5f1040454b0c706b3eafe0/5e5f15b7a529995b94e386a7/5ec9f9136db96c35c65bf1e1/1590294806243/comming-soon.png"
