Date,Planting Name,Crop,Amount,Unit,Sales outlets,Harvest Stage,Final Harvest
06/05/2020,Flax Aplos | FLA-APLOS 04/21/2020 Situation > FLR > Bed 1 10 bed ft.,Flax,3.0,Stems,test,,No
06/05/2020,Flax Aplos | FLA-APLOS 04/21/2020 Situation > FLR > Bed 1 10 bed ft.,Flax,4.0,Stems,florist1,,No
06/06/2020,Flax Aplos | FLA-APLOS 04/21/2020 Situation > FLR > Bed 1 10 bed ft.,Flax,2.0,Stems,Unknown outlet,,No
