Sow Date,Category,Crop,Crop Type,Variety,Days In Greenhouse,Transplant Date,# Of Flats,Flat Type,Seeds Per Cell,Number Of Transplants,Days to 1st potting up,1st Potting up date,Days to 2nd Potting up,2nd Potting up date,Days to 3rd Potting up,3rd Potting up date,Estimated loss,Total Seeds needed,Average seed weight,Average seed weight unit,Total weight needed,Total seed weight needed unit,Extra Seed %,Seed spec,1st Potting up flat/pot type,1st Potting up plants per cell/pot,1st Potting up # of flats/pots,2nd Potting up flat/pot type,2nd Potting up plants per cell/pot,2nd Potting up # of flats/pots,3rd Potting up flat/pot type,3rd Potting up plants per cell/pot,3rd Potting up # of flats/pots,Microgreens/Plant sale
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Cherry Brandy | RUD-CHEBR,78,05/03/2020,0.5,72 cell flats,1,35.3,,,,,,,6,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Chim Chiminee Mix | RUD-CHIMX,78,05/03/2020,0.5,72 cell flats,1,35.0,,,,,,,5,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Denver Daisy | RUD-DENDA,78,05/03/2020,0.5,72 cell flats,1,35.0,,,,,,,5,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Praire Sun | RUD-PRASN,78,05/03/2020,0.5,72 cell flats,1,35.0,,,,,,,5,36,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Sahara | RUD-SAHAR,78,05/03/2020,1.0,72 cell flats,1,70.0,,,,,,,5,72,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/15/2020,Flowers,Rudbeckia (Black-Eyed Susan),Rudbeckia (Black-Eyed Susan),Macau | RUD-MACAU,78,05/03/2020,0.6,72 cell flats,1,42.0,,,,,,,5,43,53200,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/17/2020,Flowers,Talinum (fame flower),Talinum (fame flower),Jewels of Opar | TAL-JEWOO,79,05/06/2020,1.75,72 cell flats,2,126.0,,,,,,,5,252,0,,0.00,,0.00,,,,,,,,,,,
02/17/2020,Flowers,Eucalyptus,Eucalyptus,Silver Dollar | EUC-SILDL,104,05/31/2020,0.58,72 cell flats,2,42.0,,,,,,,5,84,44000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/17/2020,Flowers,Eucalyptus,Eucalyptus,Silver Dollar | EUC-SILDL,104,05/31/2020,0.22,72 cell flats,2,16.0,,,,,,,5,32,44000,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
02/26/2020,Flowers,Dusty Miller,Dusty Miller,New Look | DUS-NEWLK,69,05/05/2020,1.94,72 cell flats,2,140.0,,,,,,,5,279,0,,0.00,,0.00,,,,,,,,,,,
03/09/2020,Flowers,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Chocolate Lace | AMM-CHOCL,59,05/07/2020,0.58,72 cell flats,2,42.0,,,,,,,5,84,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
03/09/2020,Flowers,Ammi (False Queen Anne's Lace),Ammi (False Queen Anne's Lace),Green Mist | AMM-GRENM,65,05/13/2020,0.58,72 cell flats,2,84.0,,,,,,,5,84,38833,seeds/oz,0.00,oz,0.00,,,,,,,,,,,
03/14/2020,Flowers,Aster,Aster,Apricot Swirl Mix | AST-APRSM,51,05/04/2020,0.96,72 cell flats,2,69.33,,,,,,,4,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,
03/14/2020,Flowers,Aster,Aster,Harlekin Violet | AST-HARVI,51,05/04/2020,0.96,72 cell flats,2,69.33,,,,,,,4,138,13450,seeds/oz,0.01,oz,0.00,,,,,,,,,,,
03/14/2020,Flowers,Stock,Stock,Avalanche Supreme | STO-AVASU,60,05/13/2020,0.97,72 cell flats,2,70.0,,,,,,,5,140,16855,seeds/oz,0.01,oz,0.00,,,,,,,,,,,
